CustomerID,FirstName,LastName,EmailAddress
1,Kai,Massiah,km12@yahoo.com
2,Aaron,Smith,aaron12@gmail.co.uk
3,Ed,Matthews,edmatthews@hotmail.com
4,Jack,Brown,jackbrown001@outlook.com
5,Harry,King,harryking01@gmail.co.uk
6,Fiona,Steward,fiona0810@yahoo.com
7,Jake,Brown,jakeb12@gmail.com
8,Eddie,Brighton,eddie1234@outlook.com
9,George,Fox,georgefox@hotmail.co.uk
10,Rafael,Hernandez,raffy21@gmail.com
11,Joseph,Grill,joegrill@outlook.com
12,Johnson,Simmons,johnsonsimm@aol.com
13,Axel,Myers,axlmyers@aol.co.uk
14,Connor,Streets,connor123@gmail.com
15,Mateo,Suarez,mateos12@outlook.co.uk
16,Julius,Duncan,jd08@aol.com
17,Draymond,Green,draymondgreen@protonmail.com
18,Alex,Caruso,alexcaruso@gmail.com
19,Gary,James,garyjames@gmail.com
